COUNTY,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
49,California,Modoc ,8841,4448,4393,3909,3889,95,32,213,235,55,52,20,12,156,173,4054,4048,147,85,301,313,76,89,27,31,3787,3763,3408,3417,82,17,122,137,50,45,16,11,109,136,3510,3542,119,55,180,203,65,74,23,25,661,630,501,472,13,15,91,98,5,7,4,1,47,37,544,506,28,30,121,110,11,15,4,6
51,California,Mono ,14444,7658,6786,6890,6129,82,36,204,210,215,155,38,15,229,241,7098,6347,152,106,298,296,291,239,48,39,5617,4952,5027,4473,72,33,121,146,211,150,34,12,152,138,5166,4599,118,77,168,180,275,208,42,26,2041,1834,1863,1656,10,3,83,64,4,5,4,3,77,103,1932,1748,34,29,130,116,16,31,6,13
53,California,Monterey ,434061,221129,212932,183308,176247,9038,5932,5841,5437,13386,15824,1369,1258,8187,8234,190360,183304,11119,8056,8629,8299,17788,20186,2294,2290,88241,88099,63382,64115,7031,3888,719,605,11191,13598,1042,918,4876,4975,67547,68349,8330,5232,1854,1839,14215,16604,1634,1589,132888,124833,119926,112132,2007,2044,5122,4832,2195,2226,327,340,3311,3259,122813,114955,2789,2824,6775,6460,3573,3582,660,701
55,California,Napa ,137744,68535,69209,57493,57706,1860,1528,886,860,5757,6501,274,303,2265,2311,59478,59713,2407,2112,1667,1655,6812,7568,505,573,44103,45981,34951,36340,1598,1261,276,271,5473,6225,172,200,1633,1684,36390,37820,1997,1691,722,731,6342,7102,339,403,24432,23228,22542,21366,262,267,610,589,284,276,102,103,632,627,23088,21893,410,421,945,924,470,466,166,170
57,California,Nevada ,99755,49003,50752,45823,47228,369,262,640,636,624,835,100,112,1447,1679,47134,48738,655,595,1346,1499,1129,1385,205,260,43950,46073,41383,43147,312,214,394,423,565,784,77,104,1219,1401,42487,44411,551,487,941,1093,1034,1296,172,228,5053,4679,4440,4081,57,48,246,213,59,51,23,8,228,278,4647,4327,104,108,405,406,95,89,33,32
59,California,Orange ,3175692,1566825,1608867,1125286,1133419,35120,32921,16519,15947,326088,363553,6251,6054,57561,56973,1178172,1185627,45980,43855,28213,28006,363919,400528,12277,12264,1025724,1068877,628021,636981,27554,25184,3074,3142,318579,355844,4640,4466,43856,43260,668238,676550,35801,33483,9456,9877,349663,386068,9256,9249,541101,539990,497265,496438,7566,7737,13445,12805,7509,7709,1611,1588,13705,13713,509934,509077,10179,10372,18757,18129,14256,14460,3021,3015
61,California,Placer ,398329,194488,203841,163366,170922,4185,3567,2089,2136,15196,17641,564,507,9088,9068,171861,179402,6141,5557,4517,4647,20285,22631,1402,1394,165944,175004,138864,146056,3687,3106,1089,1150,14600,16967,430,404,7274,7321,145686,152929,5282,4737,2620,2777,19037,21343,1107,1136,28544,28837,24502,24866,498,461,1000,986,596,674,134,103,1814,1747,26175,26473,859,820,1897,1870,1248,1288,295,258
63,California,Plumas ,18807,9357,9450,8460,8565,123,79,270,326,87,118,22,10,395,352,8836,8895,225,173,485,507,171,197,35,33,8479,8578,7752,7875,116,75,182,225,81,98,21,10,327,295,8062,8151,198,150,355,375,159,170,32,29,878,872,708,690,7,4,88,101,6,20,1,0,68,57,774,744,27,23,130,132,12,27,3,4
65,California,Riverside ,2470546,1232012,1238534,985814,980433,89748,89848,23805,23679,82579,94146,5549,5560,44517,44868,1025581,1020433,106043,106444,36675,37109,102441,113780,9808,9951,610177,624337,419133,422694,77244,76405,5791,5969,75220,86610,3733,3578,29056,29081,444842,448369,88327,87627,11696,12314,90078,101119,6644,6570,621835,614197,566681,557739,12504,13443,18014,17710,7359,7536,1816,1982,15461,15787,580739,572064,17716,18817,24979,24795,12363,12661,3164,3381
67,California,Sacramento ,1552058,758897,793161,479127,494837,82361,86220,11826,12162,126300,137713,9661,10416,49622,51813,520707,538028,102804,107751,24768,26289,150665,162722,15282,16455,575100,610194,330830,348896,74251,77338,3695,4097,120739,131932,8570,9370,37015,38561,361536,380696,89781,93674,11195,12457,140503,152123,12958,14087,183797,182967,148297,145941,8110,8882,8131,8065,5561,5781,1091,1046,12607,13252,159171,157332,13023,14077,13573,13832,10162,10599,2324,2368
